sqft,bedrooms,bathrooms,year_built,lot_size,neighborhood,garage_spaces,price
2048.0,3,3,2011.0,4745.0,Midtown,1,474484
1730.0,3,1,2021.0,3238.0,Suburbs,1,386967
2123.0,3,3,1982.0,4806.0,Rural,1,448610
2561.0,5,1,1985.0,9454.0,Downtown,0,568055
1682.0,3,2,1963.0,6712.0,Suburbs,2,431915
1682.0,2,2,1977.0,4071.0,Downtown,3,528636
2589.0,2,2,,6787.0,Suburbs,1,549068
2183.0,2,2,1965.0,7215.0,Midtown,2,461168
1565.0,2,2,1994.0,5814.0,Suburbs,2,422532
2071.0,2,2,1981.0,6176.0,Downtown,2,559767
1568.0,2,1,2002.0,3886.0,Downtown,1,425194
1567.0,3,2,,3966.0,Suburbs,1,407599
1920.0,2,2,1981.0,6218.0,Downtown,1,537358
843.0,4,4,2019.0,1271.0,Downtown,2,467726
937.0,2,2,1996.0,2856.0,Rural,2,302199
,3,2,2011.0,3626.0,Suburbs,1,417142
1293.0,3,3,2001.0,4506.0,Suburbs,1,382536
1957.0,5,2,1971.0,3390.0,Midtown,3,528007
1345.0,2,2,2006.0,3995.0,Downtown,2,423832
1093.0,3,1,2008.0,2953.0,Midtown,3,436827
2532.0,5,3,2001.0,7863.0,Suburbs,2,574102
1687.0,4,2,1997.0,2804.0,Midtown,1,485931
1833.0,4,4,1977.0,5407.0,Rural,2,490490
1087.0,3,2,2004.0,3156.0,Rural,2,291240
1527.0,2,2,1994.0,4430.0,Midtown,0,383419
1855.0,4,4,1989.0,5581.0,Suburbs,2,442004
1224.0,5,1,1983.0,3905.0,Midtown,2,421670
1987.0,3,3,2001.0,6979.0,Suburbs,1,500391
1499.0,3,3,1989.0,3259.0,Suburbs,2,397904
1654.0,3,1,1973.0,,Suburbs,2,403146
1499.0,4,2,1965.0,4115.0,Suburbs,3,486579
2726.0,2,2,1962.0,4614.0,Downtown,0,516017
1793.0,3,1,1975.0,2951.0,Suburbs,1,345647
1271.0,3,2,1966.0,2968.0,Suburbs,2,399809
2211.0,3,2,2011.0,7655.0,Rural,1,527972
1189.0,2,2,1973.0,3887.0,Rural,2,318725
1904.0,2,1,1968.0,6609.0,Suburbs,2,445868
820.0,3,3,1974.0,2290.0,Suburbs,0,312094
1135.0,3,3,1980.0,2951.0,Suburbs,2,343680
1898.0,3,3,1994.0,3546.0,Downtown,2,512930
2169.0,2,2,1961.0,5033.0,Downtown,1,527871
1885.0,3,1,1986.0,4872.0,Suburbs,3,504110
1742.0,3,3,1961.0,2998.0,Suburbs,2,446416
1649.0,2,1,1994.0,3382.0,Midtown,2,385395
1060.0,3,1,1977.0,3175.0,Suburbs,2,376186
1440.0,2,2,1973.0,4808.0,Suburbs,1,332410
1569.0,2,2,1979.0,6269.0,Suburbs,3,414070
2328.0,5,3,1977.0,8922.0,Downtown,2,637740
1971.0,3,3,2023.0,6122.0,Suburbs,2,550254
918.0,4,2,1969.0,2343.0,Rural,3,356994
1962.0,3,2,1984.0,6063.0,Suburbs,1,450200
