feature,importance_mean,importance_std
number_inpatient,0.05712940838649684,0.0028385715874776514
discharge_disposition_id,0.0449885021667231,0.0034148012536066663
total_visits,0.00788392051579163,0.0010793395680298561
number_diagnoses,0.0038417258584719895,0.0016025541069952247
admission_type_id,0.0031863173587726055,0.0011197238530744143
time_in_hospital,0.0026533595598305483,0.001049140169833274
diabetesMed,0.0024449841572997235,0.0006790685078252858
age_numeric,0.0022829715727476383,0.0013629753556362893
diag_1_Other,0.002134907241106032,0.0005338651292025256
number_emergency,0.0017289320073498482,0.0006866791334200212
num_med_active,0.001725043966364015,0.001248479978655176
num_procedures,0.001584950244244976,0.0008895517841688476
admission_source_id,0.0011351987814291365,0.0006032599042447484
num_medications,0.001082647477297638,0.0005986296065545722
num_med_changed,0.000925382620004922,0.0004011551609058918
