,mean,std,median,min,max
admission_type_id,2.0302697805516408,1.4463844901667775,1.0,1.0,8.0
discharge_disposition_id,3.517747131065029,5.184092946326314,1.0,1.0,28.0
admission_source_id,5.731105294946648,4.065058563016159,7.0,1.0,25.0
time_in_hospital,4.379363801087175,2.968392834719975,4.0,1.0,14.0
num_lab_procedures,42.90719750352326,19.609886652765162,44.0,1.0,132.0
num_procedures,1.3341956915643245,1.702769971373113,1.0,0.0,6.0
num_medications,15.97905174149386,8.094931350880268,15.0,1.0,81.0
number_outpatient,0.3692570968391383,1.2651597809057724,0.0,0.0,42.0
number_emergency,0.19844976847191464,0.9377474340121945,0.0,0.0,76.0
number_inpatient,0.630954298369237,1.260442606868688,0.0,0.0,21.0
number_diagnoses,7.401751560297966,1.9409904058275471,8.0,1.0,16.0
change,0.4642641433460842,0.4987238237028268,0.0,0.0,1.0
diabetesMed,0.7722669619488625,0.4193715200639162,1.0,0.0,1.0
readmitted,0.1138916851218039,0.3176812633769607,0.0,0.0,1.0
total_visits,1.19866116368029,2.294239785548138,0.0,0.0,80.0
num_med_changed,0.2870243607811556,0.487381666959906,0.0,0.0,4.0
num_med_active,1.1760720756996175,0.9161776821412807,1.0,0.0,6.0
age_numeric,65.74411113348097,15.945362203358954,65.0,5.0,95.0
